"","chr","start","end","Cn_R_group"
"union_peak_16982","chr19",29371498,29372594,"A"
"union_peak_16993","chr19",29523358,29524461,"ABC"
"union_peak_17005","chr19",29960199,29961342,"B"
"union_peak_17010","chr19",30113001,30113932,"ABC"
"union_peak_17011","chr19",30118400,30119213,"BC"
"union_peak_17018","chr19",32138079,32139190,"A"
"union_peak_17020","chr19",32148763,32149341,"C"
"union_peak_17027","chr19",32216307,32217335,"A"
"union_peak_17028","chr19",32221534,32222290,"B"
"union_peak_17029","chr19",32230455,32231301,"DEF"
"union_peak_17040","chr19",32409427,32410300,"DE"
"union_peak_17041","chr19",32454632,32455522,"ABC"
"union_peak_17044","chr19",32574267,32575416,"DE"
"union_peak_17045","chr19",32620889,32621686,"DEF"
"union_peak_17062","chr19",32998569,32999596,"E"
"union_peak_17064","chr19",33052891,33053762,"DE"
"union_peak_17065","chr19",33081226,33082063,"DE"
"union_peak_17069","chr19",33222358,33223627,"E"
"union_peak_17072","chr19",33264722,33265743,"DE"
"union_peak_17074","chr19",33428994,33430469,"D"
"union_peak_17118","chr19",36347964,36349731,"DE"
"union_peak_17138","chr19",37109266,37111266,"ABC"
"union_peak_17167","chr19",40375023,40376184,"AB"
"union_peak_17174","chr19",40617560,40618501,"AB"
"union_peak_17177","chr19",40660879,40662318,"B"
"union_peak_17178","chr19",40665725,40666454,"B"
"union_peak_17200","chr19",41332371,41333015,"AB"
"union_peak_17201","chr19",41339069,41339832,"A"
"union_peak_17202","chr19",41342632,41343429,"AB"
"union_peak_17205","chr19",41360392,41361088,"AB"
"union_peak_17206","chr19",41365324,41367569,"ABC"
"union_peak_17207","chr19",41382248,41383093,"ABC"
"union_peak_17208","chr19",41383793,41385108,"ABC"
"union_peak_17213","chr19",41768474,41769781,"AB"
"union_peak_17258","chr19",44280919,44281440,"DE"
"union_peak_17283","chr19",45527693,45528523,"DE"
"union_peak_17293","chr19",45780646,45781224,"DE"
"union_peak_17295","chr19",45789955,45791187,"AB"
"union_peak_17298","chr19",45807509,45808317,"A"
"union_peak_17333","chr19",46612577,46613683,"ABC"
"union_peak_17338","chr19",46705246,46707293,"AB"
"union_peak_17339","chr19",46713903,46714766,"AB"
"union_peak_17340","chr19",46728515,46729665,"ABC"
"union_peak_17360","chr19",47448477,47449819,"DEF"
"union_peak_17368","chr19",47524663,47525732,"DEF"
"union_peak_17380","chr19",47909722,47911336,"DE"
"union_peak_17385","chr19",53035254,53035816,"A"
"union_peak_17399","chr19",53273023,53274082,"ABC"
"union_peak_17405","chr19",53394928,53396158,"ABC"
"union_peak_17406","chr19",53399078,53399880,"ABC"
"union_peak_17407","chr19",53407084,53408728,"ABC"
"union_peak_17409","chr19",53414199,53414891,"AB"
"union_peak_17453","chr19",55136912,55137864,"AB"
"union_peak_17458","chr19",55407753,55409097,"DEF"
"union_peak_17459","chr19",55741156,55742035,NA
"union_peak_17460","chr19",55768686,55769497,"D"
"union_peak_17461","chr19",55792313,55793178,"DEF"
"union_peak_17463","chr19",55915016,55916190,"DE"
"union_peak_17465","chr19",56393165,56393906,"AB"
"union_peak_17468","chr19",56450512,56451690,"ABC"
"union_peak_17471","chr19",56679156,56680281,"ABC"
"union_peak_17472","chr19",56680516,56681425,"A"
"union_peak_17478","chr19",56756045,56757214,"ABC"
"union_peak_17479","chr19",56757638,56758276,"AB"
"union_peak_17480","chr19",56771613,56772830,"A"
"union_peak_17482","chr19",56847173,56848010,"D"
"union_peak_17483","chr19",56848316,56848931,"D"
"union_peak_17485","chr19",57064071,57064938,"AB"
"union_peak_17489","chr19",57093091,57094168,"B"
"union_peak_17500","chr19",57343651,57344495,"DE"
"union_peak_17527","chr19",59389023,59389701,"D"
"union_peak_17532","chr19",60182347,60183789,"AB"
"union_peak_17533","chr19",60212196,60213474,"AB"
"union_peak_17550","chr19",61083897,61084888,"BC"
"union_peak_17579","chr2",3742371,3743474,"C"
"union_peak_17581","chr2",3755068,3756320,"AB"
"union_peak_17582","chr2",3763888,3764696,"ABC"
"union_peak_17587","chr2",3924959,3925697,"DEF"
"union_peak_17592","chr2",4567386,4568115,"A"
"union_peak_17611","chr2",5704395,5705461,"A"
"union_peak_17631","chr2",6462013,6462960,"ABC"
"union_peak_17640","chr2",6698217,6698961,"B"
"union_peak_17652","chr2",9535695,9536484,"C"
"union_peak_17653","chr2",9563405,9565007,"A"
"union_peak_17661","chr2",9683459,9684329,"DE"
"union_peak_17665","chr2",9801210,9802387,"ABC"
"union_peak_17666","chr2",9866866,9867897,"ABC"
"union_peak_17667","chr2",9871346,9872188,"A"
"union_peak_17676","chr2",10314451,10315491,"E"
"union_peak_17684","chr2",11145362,11146394,"AB"
"union_peak_17697","chr2",11254027,11255192,"E"
"union_peak_17698","chr2",11266017,11267217,"DEF"
"union_peak_17704","chr2",11359753,11361598,"ABC"
"union_peak_17715","chr2",11616785,11617235,"DE"
"union_peak_17716","chr2",11619031,11620209,"D"
"union_peak_17717","chr2",11635670,11636651,"D"
"union_peak_17726","chr2",11692826,11693635,"C"
"union_peak_17729","chr2",11801392,11802251,"AB"
"union_peak_17734","chr2",12423880,12424899,"A"
"union_peak_17740","chr2",13232842,13234041,"AB"
"union_peak_17741","chr2",13237019,13237916,"ABC"
"union_peak_17763","chr2",14054943,14056363,"DEF"
"union_peak_17766","chr2",14879443,14880395,"DEF"
"union_peak_17780","chr2",17702442,17703712,"AB"
"union_peak_17781","chr2",17712184,17713279,"A"
"union_peak_17784","chr2",17742005,17743251,"AB"
"union_peak_17799","chr2",18390854,18391875,"AB"
"union_peak_17805","chr2",18663876,18664886,"A"
"union_peak_17823","chr2",18983776,18984870,"DE"
"union_peak_17826","chr2",19049902,19050885,"DEF"
"union_peak_17828","chr2",19201490,19202495,"A"
"union_peak_17856","chr2",22810666,22811988,"A"
"union_peak_17882","chr2",25147657,25148532,"A"
"union_peak_17884","chr2",25170085,25170730,"C"
"union_peak_17918","chr2",25620261,25621067,"DE"
"union_peak_17923","chr2",25912806,25913767,"ABC"
"union_peak_17948","chr2",26662479,26663699,"A"
"union_peak_17953","chr2",26744123,26744922,"F"
"union_peak_17984","chr2",28513812,28514891,"E"
"union_peak_17996","chr2",29095556,29096675,"E"
"union_peak_18010","chr2",29648742,29650272,"AB"
"union_peak_18012","chr2",29668830,29669591,"C"
"union_peak_18016","chr2",29724718,29725685,"AB"
"union_peak_18017","chr2",29768702,29769519,"A"
"union_peak_18044","chr2",30257246,30258290,"EF"
"union_peak_18086","chr2",31081251,31083220,"BC"
"union_peak_18103","chr2",31665722,31666353,"B"
"union_peak_18107","chr2",31810193,31811692,"A"
"union_peak_18113","chr2",32047007,32047862,"DEF"
"union_peak_18128","chr2",32164543,32165901,"A"
"union_peak_18153","chr2",32541668,32542619,"E"
"union_peak_18163","chr2",32714519,32715673,"A"
"union_peak_18167","chr2",32772433,32773017,"A"
"union_peak_18176","chr2",32867163,32868011,"A"
"union_peak_18179","chr2",32881641,32882554,"A"
"union_peak_18196","chr2",33544486,33545110,"BC"
"union_peak_18206","chr2",34073714,34074608,"DE"
"union_peak_18207","chr2",34139536,34140191,"A"
"union_peak_18209","chr2",34204026,34205118,"AC"
"union_peak_18231","chr2",34952722,34953632,"A"
"union_peak_18237","chr2",34982075,34982651,"AB"
"union_peak_18253","chr2",35411728,35412981,"AB"
"union_peak_18258","chr2",35448276,35449093,"A"
"union_peak_18270","chr2",35993940,35994952,"ABC"
"union_peak_18278","chr2",36219710,36220709,"BC"
"union_peak_18288","chr2",37565255,37566236,"A"
"union_peak_18299","chr2",38471828,38473331,"C"
"union_peak_18300","chr2",38511249,38512287,"B"
"union_peak_18301","chr2",38535911,38537193,"ABC"
"union_peak_18329","chr2",44165552,44167647,"AB"
"union_peak_18330","chr2",44323648,44324696,"AB"
"union_peak_18334","chr2",44344578,44345544,"AB"
"union_peak_18337","chr2",44920357,44921905,"ABC"
"union_peak_18343","chr2",45017041,45017924,"C"
"union_peak_18344","chr2",45018320,45019652,"ABC"
"union_peak_18346","chr2",45103048,45103739,"B"
"union_peak_18347","chr2",45114518,45115352,"B"
"union_peak_18348","chr2",45138662,45139372,"A"
"union_peak_18350","chr2",45172562,45173420,"ABC"
"union_peak_18351","chr2",45186901,45188144,"AB"
"union_peak_18352","chr2",46370861,46372116,"A"
"union_peak_18372","chr2",49845723,49848190,"D"
"union_peak_18385","chr2",52455822,52456604,"A"
"union_peak_18394","chr2",53094818,53095677,"DEF"
"union_peak_18414","chr2",58123391,58124276,"EF"
"union_peak_18418","chr2",58149508,58150253,"D"
"union_peak_18439","chr2",59327753,59328801,"AB"
"union_peak_18441","chr2",59353048,59354440,"DE"
"union_peak_18445","chr2",59469311,59471262,"DE"
"union_peak_18446","chr2",59474181,59474729,"DE"
"union_peak_18448","chr2",59487955,59488848,"DE"
"union_peak_18455","chr2",59631053,59631918,"E"
"union_peak_18457","chr2",59652445,59653359,"A"
"union_peak_18464","chr2",60165529,60166602,"AB"
"union_peak_18483","chr2",60845312,60846194,"A"
"union_peak_18485","chr2",60877690,60878519,"AB"
"union_peak_18516","chr2",65044095,65045034,"A"
"union_peak_18520","chr2",65133531,65134433,"A"
"union_peak_18526","chr2",65195216,65195959,"ABC"
"union_peak_18537","chr2",65550522,65552346,"F"
"union_peak_18539","chr2",66102205,66103121,"A"
"union_peak_18541","chr2",66123523,66124239,"A"
"union_peak_18542","chr2",66126542,66127574,"AB"
"union_peak_18543","chr2",66148606,66150049,"A"
"union_peak_18547","chr2",68381423,68383234,"A"
"union_peak_18548","chr2",68430282,68431032,"AB"
"union_peak_18559","chr2",68881795,68882505,"A"
"union_peak_18563","chr2",68959385,68960409,"DEF"
"union_peak_18564","chr2",68978502,68979298,"A"
"union_peak_18568","chr2",69380074,69381856,"ABC"
"union_peak_18571","chr2",69716150,69716925,"AB"
"union_peak_18582","chr2",69994736,69995700,"A"
"union_peak_18583","chr2",70021597,70022501,"A"
"union_peak_18593","chr2",70809777,70810799,"D"
"union_peak_18600","chr2",70930663,70931202,"DE"
"union_peak_18601","chr2",70932764,70933544,"DE"
"union_peak_18623","chr2",71866208,71867392,"E"
"union_peak_18625","chr2",71941104,71942212,"DE"
"union_peak_18626","chr2",72082639,72083636,"DEF"
"union_peak_18627","chr2",72113863,72114684,"DE"
"union_peak_18628","chr2",72117324,72118266,"DE"
"union_peak_18629","chr2",72136340,72137784,"DEF"
"union_peak_18630","chr2",72144731,72146610,"DE"
"union_peak_18633","chr2",72281819,72283418,"DE"
"union_peak_18634","chr2",72365031,72366012,"AC"
"union_peak_18635","chr2",72405818,72407020,"DEF"
"union_peak_18640","chr2",72855230,72855871,"DE"
"union_peak_18642","chr2",72873915,72875201,"DE"
"union_peak_18648","chr2",73003193,73004212,"DE"
"union_peak_18650","chr2",73053778,73054694,"A"
"union_peak_18651","chr2",73070335,73071196,"A"
"union_peak_18660","chr2",73346043,73347135,"B"
"union_peak_18688","chr2",75072615,75073506,"DEF"
"union_peak_18705","chr2",75685333,75685835,"B"
"union_peak_18719","chr2",75891567,75892712,"DE"
"union_peak_18730","chr2",76421182,76422147,"DEF"
"union_peak_18742","chr2",78959613,78961753,"ABC"
"union_peak_18743","chr2",78972415,78973560,"ABC"
"union_peak_18745","chr2",78977525,78978495,"ABC"
"union_peak_18746","chr2",78979823,78980941,"ABC"
"union_peak_18747","chr2",78986162,78986925,"AB"
"union_peak_18748","chr2",78995061,78997499,"ABC"
"union_peak_18749","chr2",79001191,79002027,"AB"
"union_peak_18750","chr2",79004668,79005745,"AB"
"union_peak_18752","chr2",79049056,79049793,"AB"
"union_peak_18753","chr2",79050477,79051008,"A"
"union_peak_18755","chr2",79064902,79066308,"ABC"
"union_peak_18797","chr2",84016047,84016898,"DEF"
"union_peak_18800","chr2",84346870,84347879,"DEF"
"union_peak_18808","chr2",84498759,84499733,"DE"
"union_peak_18812","chr2",84625114,84625926,"A"
"union_peak_18830","chr2",85013702,85014829,"AC"
"union_peak_18836","chr2",90487067,90488208,"A"
"union_peak_18837","chr2",90490310,90490987,"A"
"union_peak_18838","chr2",90496140,90497291,"AC"
"union_peak_18841","chr2",90547210,90547874,"A"
"union_peak_18843","chr2",90561866,90562432,"AC"
"union_peak_18844","chr2",90564638,90565177,"BC"
"union_peak_18877","chr2",91645755,91646236,"DEF"
"union_peak_18903","chr2",92212962,92213956,"AB"
"union_peak_18925","chr2",93452843,93453769,"ABC"
"union_peak_18955","chr2",101991457,101993495,"E"
"union_peak_18958","chr2",102188384,102189472,"DEF"
"union_peak_18963","chr2",102812544,102813430,"ABC"
"union_peak_18969","chr2",102899632,102901516,"ABC"
"union_peak_18973","chr2",102947902,102949087,"ABC"
"union_peak_18992","chr2",103657721,103659801,"ABC"
"union_peak_18998","chr2",103754362,103755320,"ABC"
"union_peak_19001","chr2",103945134,103946380,"DE"
"union_peak_19033","chr2",109318687,109319735,"B"
"union_peak_19081","chr2",117373956,117375074,"AB"
"union_peak_19083","chr2",117399270,117400007,"E"
"union_peak_19157","chr2",120598805,120600203,"AB"
"union_peak_19212","chr2",122468846,122469793,"DEF"
"union_peak_19217","chr2",122665452,122667066,"ABC"
"union_peak_19233","chr2",125666839,125667782,"AB"
"union_peak_19236","chr2",125735166,125736162,"A"
"union_peak_19250","chr2",126490874,126492060,"AB"
"union_peak_19253","chr2",126501878,126502767,"ABC"
"union_peak_19276","chr2",127189395,127190436,"A"
"union_peak_19282","chr2",127304347,127305193,"AC"
"union_peak_19283","chr2",127310190,127310457,"A"
"union_peak_19303","chr2",127916504,127917370,"DEF"
"union_peak_19304","chr2",127921786,127922410,"E"
"union_peak_19305","chr2",127923062,127923830,"E"
"union_peak_19306","chr2",127927479,127928370,"DEF"
"union_peak_19310","chr2",128068592,128069203,"A"
"union_peak_19311","chr2",128072702,128073653,"A"
"union_peak_19312","chr2",128086897,128088510,"EF"
"union_peak_19314","chr2",128111506,128112985,"A"
"union_peak_19321","chr2",128196910,128197977,"C"
"union_peak_19330","chr2",128367144,128368367,"C"
"union_peak_19331","chr2",128377612,128379137,"ABC"
"union_peak_19332","chr2",128380390,128382175,"ABC"
"union_peak_19336","chr2",128406847,128407588,"A"
"union_peak_19340","chr2",128427714,128430485,"A"
"union_peak_19344","chr2",128499237,128500440,"AC"
"union_peak_19355","chr2",129185488,129186682,"ABC"
"union_peak_19357","chr2",129242993,129244459,"ABC"
"union_peak_19361","chr2",129313698,129314524,"F"
"union_peak_19371","chr2",130500770,130501982,"A"
"union_peak_19373","chr2",130539979,130540899,"E"
"union_peak_19398","chr2",131480376,131481253,"E"
"union_peak_19413","chr2",132029002,132029897,"E"
"union_peak_19422","chr2",132203328,132204461,"AB"
"union_peak_19431","chr2",132607465,132608506,"D"
"union_peak_19453","chr2",143838609,143841290,"B"
"union_peak_19456","chr2",143924226,143925358,"ABC"
"union_peak_19461","chr2",144165207,144166330,"A"
"union_peak_19462","chr2",144167056,144167716,"A"
"union_peak_19463","chr2",144213548,144214527,"A"
"union_peak_19466","chr2",144228380,144229190,"DEF"
"union_peak_19474","chr2",144441038,144441859,"AB"
"union_peak_19479","chr2",144489027,144490258,"A"
"union_peak_19493","chr2",146197768,146198676,"A"
"union_peak_19498","chr2",146497052,146498004,"AB"
"union_peak_19505","chr2",147030406,147031297,"AB"
"union_peak_19515","chr2",149283042,149284074,"DEF"
"union_peak_19543","chr2",151571726,151572632,"ABC"
"union_peak_19558","chr2",152371726,152372857,"A"
"union_peak_19570","chr2",152788985,152790100,"B"
"union_peak_19594","chr2",153350601,153351312,"ABC"
"union_peak_19615","chr2",154732520,154733674,"A"
"union_peak_19681","chr2",156882326,156883105,"DE"
"union_peak_19690","chr2",157121566,157122295,"DE"
"union_peak_19709","chr2",158132812,158133614,"DEF"
"union_peak_19710","chr2",158153936,158154886,"D"
"union_peak_19715","chr2",158322614,158323425,"DEF"
"union_peak_19742","chr2",160657287,160658281,"A"
"union_peak_19762","chr2",163103064,163103772,"A"
"union_peak_19778","chr2",163800431,163801919,"B"
"union_peak_19791","chr2",164360067,164360976,"C"
"union_peak_19798","chr2",164534096,164534767,"DEF"
"union_peak_19818","chr2",164899462,164900375,"DE"
"union_peak_19829","chr2",165452913,165453810,"D"
"union_peak_19831","chr2",165541008,165541474,"A"
"union_peak_19836","chr2",165877683,165878449,"E"
"union_peak_19838","chr2",165890274,165891170,"E"
"union_peak_19840","chr2",165923416,165924861,"DE"
"union_peak_19852","chr2",166227275,166228047,"C"
"union_peak_19853","chr2",166446447,166447292,"A"
"union_peak_19854","chr2",166448462,166449265,"AB"
"union_peak_19857","chr2",166491471,166492684,"AB"
"union_peak_19858","chr2",166523910,166524779,"A"
"union_peak_19860","chr2",166553256,166554316,"AB"
"union_peak_19863","chr2",166606686,166607454,"A"
"union_peak_19864","chr2",166610066,166610948,"AB"
"union_peak_19867","chr2",166625205,166625975,"A"
"union_peak_19882","chr2",166754047,166755198,"AB"
"union_peak_19898","chr2",167334528,167336354,"C"
"union_peak_19903","chr2",167363001,167363762,"AC"
"union_peak_19953","chr2",168428629,168430248,"ABC"
"union_peak_19959","chr2",168555930,168557234,"AB"
"union_peak_19962","chr2",168580054,168580967,"ABC"
"union_peak_19963","chr2",168582803,168583661,"C"
"union_peak_19969","chr2",169589704,169590646,"A"
"union_peak_19971","chr2",169958532,169959167,"DE"
"union_peak_19974","chr2",170050286,170051206,"DEF"
"union_peak_20000","chr2",172390109,172391158,"ABC"
"union_peak_20004","chr2",172407180,172408030,"A"
"union_peak_20012","chr2",173023333,173023931,"DE"
"union_peak_20013","chr2",173026522,173027300,"E"
"union_peak_20019","chr2",173056180,173057330,"EF"
"union_peak_20023","chr2",173085522,173086255,"D"
"union_peak_20027","chr2",173263430,173264264,"DE"
"union_peak_20029","chr2",173274596,173275668,"DE"
"union_peak_20032","chr2",173349195,173350591,"EF"
"union_peak_20040","chr2",173534262,173535179,"DE"
"union_peak_20041","chr2",173577980,173579082,"EF"
"union_peak_20050","chr2",173854753,173855502,"DEF"
"union_peak_20074","chr2",178033897,178034926,"DEF"
"union_peak_20092","chr2",180436994,180438628,"A"
"union_peak_20118","chr2",181410326,181411583,"AB"
"union_peak_20131","chr2",181790834,181791729,"A"
"union_peak_20132","chr2",181800720,181801893,"B"
"union_peak_20137","chr2",181878677,181879414,"AC"
"union_peak_20149","chr3",8718201,8718729,"DEF"
"union_peak_20151","chr3",8915158,8917078,"D"
"union_peak_20159","chr3",9402448,9403340,"DE"
"union_peak_20162","chr3",9511887,9512996,"DEF"
"union_peak_20175","chr3",9862894,9863748,"A"
"union_peak_20180","chr3",9916605,9917313,"A"
"union_peak_20181","chr3",9923853,9925231,"A"
"union_peak_20202","chr3",14911636,14912602,"DE"
"union_peak_20205","chr3",14979030,14979779,"C"
"union_peak_20234","chr3",19458406,19459327,"AB"
"union_peak_20246","chr3",20104066,20105459,"AB"
"union_peak_20253","chr3",21125713,21126859,"ABC"
"union_peak_20255","chr3",21837728,21838670,"A"
"union_peak_20263","chr3",21965304,21966228,"ABC"
"union_peak_20284","chr3",27322273,27323493,"AB"
"union_peak_20285","chr3",27330354,27331516,"AB"
"union_peak_20293","chr3",28243862,28244725,"A"
"union_peak_20307","chr3",30863649,30864497,"ABC"
"union_peak_20308","chr3",30875980,30877293,"AB"
"union_peak_20327","chr3",32408728,32409673,"AB"
"union_peak_20340","chr3",35305875,35306544,"DEF"
"union_peak_20341","chr3",35318036,35319649,"DEF"
"union_peak_20371","chr3",37257383,37258466,"AB"
"union_peak_20379","chr3",37455273,37456957,"AB"
"union_peak_20381","chr3",37483511,37484529,"D"
"union_peak_20388","chr3",37724292,37725081,"DE"
"union_peak_20389","chr3",37738010,37739086,"ABC"
"union_peak_20397","chr3",37939804,37941121,"AC"
"union_peak_20398","chr3",37974436,37975483,"A"
"union_peak_20400","chr3",38280026,38281030,"DEF"
"union_peak_20401","chr3",38282705,38283920,"DEF"
"union_peak_20454","chr3",52007466,52008565,"D"
"union_peak_20462","chr3",52102295,52103774,"D"
"union_peak_20471","chr3",52296965,52298164,"ABC"
"union_peak_20487","chr3",52618183,52619147,"E"
"union_peak_20493","chr3",52676844,52677689,"A"
"union_peak_20495","chr3",52703095,52704299,"ABC"
"union_peak_20500","chr3",52829965,52830837,"E"
"union_peak_20501","chr3",52839993,52841154,"E"
"union_peak_20511","chr3",53185257,53186072,"B"
"union_peak_20512","chr3",53230693,53231358,"B"
"union_peak_20521","chr3",54708474,54709736,"A"
"union_peak_20559","chr3",59190171,59191091,"AB"
"union_peak_20560","chr3",59203474,59205254,"ABC"
"union_peak_20561","chr3",59205856,59206575,"AB"
"union_peak_20563","chr3",59221834,59222969,"ABC"
"union_peak_20567","chr3",59260385,59262414,"AB"
"union_peak_20569","chr3",59296322,59297354,"AB"
"union_peak_20573","chr3",59702263,59703445,"DEF"
"union_peak_20576","chr3",60239742,60241541,"BC"
"union_peak_20618","chr3",65515992,65517169,"A"
"union_peak_20625","chr3",65662895,65663565,"F"
"union_peak_20627","chr3",65922262,65923655,"ABC"
"union_peak_20633","chr3",65984336,65985504,"AB"
"union_peak_20653","chr3",68789268,68790822,"AB"
"union_peak_20656","chr3",68966717,68967802,"DEF"
"union_peak_20657","chr3",68974251,68975351,"DEF"
"union_peak_20693","chr3",75730664,75731744,"DE"
"union_peak_20695","chr3",75929761,75930752,"ABC"
"union_peak_20703","chr3",79099984,79101024,"DEF"
"union_peak_20709","chr3",79181306,79182883,"ABC"
"union_peak_20720","chr3",79269725,79270438,"C"
"union_peak_20723","chr3",79535428,79536305,"DE"
"union_peak_20747","chr3",84092598,84093540,"AC"
"union_peak_20766","chr3",84678709,84679505,"ABC"
"union_peak_20767","chr3",84679767,84682081,"ABC"
"union_peak_20769","chr3",84714773,84715933,"AB"
"union_peak_20773","chr3",84777076,84778153,"A"
"union_peak_20776","chr3",84825747,84826955,"ABC"
"union_peak_20778","chr3",84848254,84849805,"B"
"union_peak_20782","chr3",85126540,85127839,"E"
"union_peak_20785","chr3",85887585,85889183,"C"
"union_peak_20797","chr3",86920215,86921212,"EF"
"union_peak_20800","chr3",87214582,87215942,"ABC"
"union_peak_20801","chr3",87266200,87266889,"A"
"union_peak_20803","chr3",87321784,87323710,"B"
"union_peak_20807","chr3",87523479,87524465,"ABC"
"union_peak_20818","chr3",87840619,87841450,"ABC"
"union_peak_20913","chr3",89863644,89864686,"DE"
"union_peak_20914","chr3",89869176,89870211,"DE"
"union_peak_20919","chr3",89905948,89906919,"E"
"union_peak_20920","chr3",89912318,89913679,"E"
"union_peak_20957","chr3",90603744,90605880,"AB"
"union_peak_20958","chr3",90612281,90613152,"A"
"union_peak_20970","chr3",93562150,93563101,"AB"
"union_peak_20972","chr3",93596605,93598039,"A"
"union_peak_20975","chr3",94375022,94376010,"AC"
"union_peak_21016","chr3",95385477,95386381,"C"
"union_peak_21034","chr3",95697211,95698205,"AB"
"union_peak_21054","chr3",95994580,95995519,"E"
"union_peak_21055","chr3",95996034,95997563,"E"
"union_peak_21112","chr3",96881128,96882886,"ABC"
"union_peak_21125","chr3",97294211,97295094,"DEF"
"union_peak_21133","chr3",97931464,97933951,"AB"
"union_peak_21141","chr3",99174429,99175348,"A"
"union_peak_21142","chr3",99193378,99194501,"A"
"union_peak_21145","chr3",100436456,100437466,"ABC"
"union_peak_21152","chr3",100558187,100558930,"DE"
"union_peak_21153","chr3",100561768,100562862,"DE"
"union_peak_21159","chr3",100785786,100786419,"DEF"
"union_peak_21161","chr3",100818637,100820334,"D"
"union_peak_21169","chr3",101029231,101029988,"DEF"
"union_peak_21180","chr3",101265307,101266259,"DE"
"union_peak_21182","chr3",101276635,101277057,"E"
"union_peak_21189","chr3",101407128,101408175,"DEF"
"union_peak_21198","chr3",101747684,101748899,"EF"
"union_peak_21208","chr3",102755324,102756603,"AB"
"union_peak_21215","chr3",103091379,103092598,"DE"
"union_peak_21231","chr3",103493730,103494708,"DE"
"union_peak_21241","chr3",103843869,103845247,"B"
"union_peak_21261","chr3",104630767,104631521,"DEF"
"union_peak_21265","chr3",104656612,104657983,"E"
"union_peak_21269","chr3",104771155,104772151,"A"
"union_peak_21270","chr3",104779981,104781042,"AB"
"union_peak_21279","chr3",105132852,105133589,"DEF"
"union_peak_21301","chr3",106001054,106002108,"E"
"union_peak_21303","chr3",106032647,106033268,"E"
"union_peak_21323","chr3",106995927,106996830,"AB"
"union_peak_21329","chr3",107089785,107091337,"DEF"
"union_peak_21330","chr3",107099509,107100609,"DEF"
"union_peak_21332","chr3",107205963,107207430,"AB"
"union_peak_21344","chr3",107796062,107797257,"A"
"union_peak_21347","chr3",107852676,107853969,"ABC"
"union_peak_21377","chr3",108717691,108718902,"A"
"union_peak_21378","chr3",108726487,108728113,"AB"
"union_peak_21384","chr3",108865093,108866116,"DEF"
"union_peak_21385","chr3",108880197,108881121,"DE"
"union_peak_21398","chr3",109371666,109372746,"D"
"union_peak_21404","chr3",114889469,114890700,"AB"
"union_peak_21409","chr3",115675782,115676306,"AB"
"union_peak_21413","chr3",115692090,115693557,"A"
"union_peak_21418","chr3",115758145,115759628,"AB"
"union_peak_21427","chr3",115933318,115934182,"DEF"
"union_peak_21438","chr3",116380013,116381147,"ABC"
"union_peak_21443","chr3",116439960,116440722,"A"
"union_peak_21444","chr3",116465474,116466746,"A"
"union_peak_21445","chr3",116487524,116488154,"A"
"union_peak_21449","chr3",116629855,116630895,"ABC"
"union_peak_21455","chr3",116855444,116856485,"B"
"union_peak_21493","chr3",123459057,123460012,"B"
"union_peak_21508","chr3",126834518,126835381,"D"
"union_peak_21519","chr3",127862222,127863543,"DEF"
"union_peak_21520","chr3",127867928,127868943,"DEF"
"union_peak_21521","chr3",127874702,127876049,"DE"
"union_peak_21540","chr3",129601903,129603103,"DE"
"union_peak_21569","chr3",130931805,130932748,"DE"
"union_peak_21570","chr3",130936745,130937605,"DE"
"union_peak_21573","chr3",130978191,130979751,"DEF"
"union_peak_21576","chr3",131026104,131026788,"E"
"union_peak_21587","chr3",131153627,131154328,NA
"union_peak_21590","chr3",131159861,131160649,"D"
"union_peak_21593","chr3",131190487,131191173,"DEF"
"union_peak_21594","chr3",131199379,131200325,"DE"
"union_peak_21607","chr3",132871332,132872056,"AB"
"union_peak_21608","chr3",132872942,132873689,"A"
"union_peak_21609","chr3",133077827,133078979,"A"
"union_peak_21619","chr3",133582779,133584264,"ABC"
"union_peak_21636","chr3",135527433,135528355,"ABC"
"union_peak_21654","chr3",136556296,136557318,"A"
"union_peak_21657","chr3",136629474,136630445,"DEF"
"union_peak_21660","chr3",136697628,136698666,"ABC"
"union_peak_21666","chr3",136940602,136941990,"AB"
"union_peak_21677","chr3",137953465,137956245,"ABC"
"union_peak_21684","chr3",138419005,138420750,"ABC"
"union_peak_21696","chr3",138893300,138894338,"ABC"
"union_peak_21698","chr3",139016346,139017155,"A"
"union_peak_21699","chr3",139033028,139033698,"A"
"union_peak_21701","chr3",139063944,139065216,"ABC"
"union_peak_21724","chr3",142546435,142547151,"ABC"
"union_peak_21725","chr3",142549756,142550957,"ABC"
"union_peak_21740","chr3",144231625,144232633,"D"
"union_peak_21753","chr3",144591046,144591924,"DEF"
"union_peak_21761","chr3",145537600,145538788,"E"
"union_peak_21771","chr3",146062944,146063636,"DEF"
"union_peak_21773","chr3",146121315,146122881,"E"
"union_peak_21789","chr3",146757817,146758940,"ABC"
"union_peak_21797","chr3",148762203,148763314,"D"
"union_peak_21798","chr3",148850473,148851680,"DEF"
"union_peak_21803","chr3",149338414,149339560,"A"
"union_peak_21808","chr3",152149093,152150198,"ABC"
"union_peak_21817","chr3",152441982,152443488,"A"
"union_peak_21825","chr3",152908022,152908427,"B"
"union_peak_21827","chr3",152920013,152921115,"ABC"
"union_peak_21885","chr4",6216439,6217324,"A"
