"","A_chr","A_start","A_end","A_peak","C_chr","C_start","C_end","C_peak","overlap"
"592","chr9",121305509,121306122,"union_peak_53636","chr9",121305269,121306293,"union_peak_33414",613
"593","chr2",17712509,17713105,"union_peak_28561","chr2",17712183,17713279,"union_peak_17781",596
"594","chr5",137691654,137692367,"union_peak_41132","chr5",137691296,137692503,"union_peak_25706",713
"595","chr2",181790827,181791514,"union_peak_32418","chr2",181790833,181791729,"union_peak_20131",681
"596","chr3",53230569,53231159,"union_peak_33000","chr3",53230692,53231358,"union_peak_20512",467
"597","chr18",79300598,79301142,"union_peak_26246","chr18",79300648,79301176,"union_peak_16323",494
"598","chr2",45114711,45114939,"union_peak_29485","chr2",45114517,45115352,"union_peak_18347",228
"599","chr6",65661996,65662505,"union_peak_42652","chr6",65661724,65663058,"union_peak_26632",509
"600","chr6",128769577,128769753,"union_peak_44045","chr6",128769273,128770005,"union_peak_27518",176
"601","chr11",77195777,77196082,"union_peak_8931","chr11",77195472,77197312,"union_peak_5581_1",305
"602","chr8",106802577,106803387,"union_peak_49832","chr8",106802723,106803963,"union_peak_31108",664
"603","chr5",120668906,120669988,"union_peak_40482","chr5",120669207,120670511,"union_peak_25302",781
"604","chr13",114886058,114886696,"union_peak_15894","chr13",114885624,114887419,"union_peak_9838_1",638
"605","chr15",9714361,9715096,"union_peak_18140","chr15",9713718,9714817,"union_peak_11266_1",456
"606","chr9",107776636,107777352,"union_peak_53160","chr9",107776623,107777355,"union_peak_33118",716
"607","chr18",24185469,24186005,"union_peak_25201","chr18",24185391,24186169,"union_peak_15710",536
"608","chr1",87914775,87915244,"union_peak_1476","chr1",87914228,87915365,"union_peak_928",469
"609","chr12",117959051,117959793,"union_peak_13599","chr12",117958894,117959868,"union_peak_8372",742
"610","chr7",75787363,75787903,"union_peak_46292","chr7",75787340,75789427,"union_peak_28974",540
"611","chr2",109318835,109319300,"union_peak_30523","chr2",109318686,109319735,"union_peak_19033",465
"612","chr1",119712809,119713662,"union_peak_1829","chr1",119712593,119714267,"union_peak_1137",853
"613","chr14",73596334,73597111,"union_peak_17406","chr14",73596481,73597195,"union_peak_10797",630
"614","chr9",71848336,71848964,"union_peak_52457","chr9",71848261,71849113,"union_peak_32649",628
"615","chr5",103975639,103976297,"union_peak_39817","chr5",103975431,103976494,"union_peak_24908",658
"616","chr16",11327630,11327803,"union_peak_20619","chr16",11327375,11328074,"union_peak_12793",173
"617","chr13",113061000,113061173,"union_peak_15830","chr13",113060928,113062324,"union_peak_9791_2",173
"618","chr3",9916589,9917307,"union_peak_32495","chr3",9916604,9917313,"union_peak_20180",703
"619","chr3",87214436,87214684,"union_peak_33431","chr3",87214581,87215942,"union_peak_20800",103
"620","chr15",41856586,41856948,"union_peak_18534","chr15",41856382,41857053,"union_peak_11516",362
"621","chr2",65044296,65044782,"union_peak_29733","chr2",65044094,65045034,"union_peak_18516",486
"622","chr9",46158565,46159154,"union_peak_51592","chr9",46158638,46159343,"union_peak_32165",516
"623","chr12",25367313,25367675,"union_peak_11681","chr12",25366803,25367600,"union_peak_7220",287
"624","chrX",13552252,13552659,"union_peak_54010","chrX",13552147,13553156,"union_peak_33673",407
"625","chr11",86428989,86429211,"union_peak_9391","chr11",86428662,86429935,"union_peak_5852",222
"626","chr13",40916978,40917236,"union_peak_14343","chr13",40917000,40918497,"union_peak_8838",236
"627","chr12",11230115,11230755,"union_peak_11412","chr12",11230109,11230993,"union_peak_7060",640
"628","chr11",77196763,77197056,"union_peak_8932","chr11",77195472,77197312,"union_peak_5581_2",293
"629","chr4",102606877,102607045,"union_peak_36392","chr4",102606470,102607255,"union_peak_22745",168
"630","chr6",130430714,130430960,"union_peak_44169","chr6",130429917,130430865,"union_peak_27614",151
"631","chr17",84064482,84064772,"union_peak_24712","chr17",84063832,84064624,"union_peak_15413",142
"632","chr5",112085574,112085780,"union_peak_40087","chr5",112084622,112085703,"union_peak_25089_1",129
"633","chr2",19201687,19201976,"union_peak_28627","chr2",19201489,19202495,"union_peak_17828",289
"634","chr14",26921834,26922333,"union_peak_16303","chr14",26921831,26923298,"union_peak_10097",499
"635","chr6",130288147,130288477,"union_peak_44164","chr6",130287639,130288831,"union_peak_27607",330
"636","chr5",112084804,112084970,"union_peak_40086","chr5",112084622,112085703,"union_peak_25089_2",166
"637","chr10",44820487,44820688,"union_peak_4612","chr10",44820400,44822357,"union_peak_2891",201
"638","chr17",51760181,51760451,"union_peak_24091","chr17",51759914,51760610,"union_peak_14998",270
"639","chr7",142424042,142424380,"union_peak_48001","chr7",142422644,142424511,"union_peak_30019_1",338
"640","chr15",9713600,9713976,"union_peak_18139","chr15",9713718,9714817,"union_peak_11266_2",258
"641","chr2",65551838,65552063,"union_peak_29755","chr2",65550521,65552346,"union_peak_18537",225
"642","chr4",133659842,133660034,"union_peak_37308","chr4",133659047,133661423,"union_peak_23302",192
"643","chr12",79381323,79381926,"union_peak_12431","chr12",79380638,79381943,"union_peak_7700",603
"644","chrX",164407440,164407632,"union_peak_55059","chrX",164406349,164407672,"union_peak_34307",192
"645","chr2",18663995,18664296,"union_peak_28590","chr2",18663875,18664886,"union_peak_17805",301
"646","chr3",109372647,109373073,"union_peak_34365","chr3",109371665,109372746,"union_peak_21398",99
"647","chr13",108597010,108597406,"union_peak_15705","chr13",108596569,108597586,"union_peak_9704",396
"648","chr11",83605263,83606066,"union_peak_9272","chr11",83605169,83606557,"union_peak_5795",803
"649","chr15",93228928,93229557,"union_peak_19900","chr15",93228798,93229772,"union_peak_12355",629
"650","chr7",123217548,123219043,"union_peak_47373","chr7",123217735,123219032,"union_peak_29623",1297
"651","chr14",120519897,120520542,"union_peak_17823","chr14",120519588,120521284,"union_peak_11066",645
"652","chr11",30630319,30630992,"union_peak_7307","chr11",30630316,30631512,"union_peak_4617",673
"653","chr5",93109321,93110212,"union_peak_39647","chr5",93109099,93110207,"union_peak_24784",886
"654","chr12",25394123,25394941,"union_peak_11684","chr12",25393872,25394982,"union_peak_7221",818
"655","chr4",152446109,152446858,"union_peak_38147","chr4",152445968,152447138,"union_peak_23826",749
"656","chr12",21476410,21476812,"union_peak_11596","chr12",21476213,21476746,"union_peak_7170",336
"657","chr3",65984520,65985375,"union_peak_33189","chr3",65984335,65985504,"union_peak_20633",855
"658","chr19",57064196,57064835,"union_peak_28103","chr19",57064070,57064938,"union_peak_17485",639
"659","chr7",78724521,78724956,"union_peak_46325","chr7",78724486,78725148,"union_peak_28995",435
"660","chr4",108454644,108454985,"union_peak_36529","chr4",108454610,108455302,"union_peak_22830",341
"661","chr16",52373968,52374541,"union_peak_21639","chr16",52373958,52374853,"union_peak_13420",573
"662","chr7",117433209,117434058,"union_peak_47217","chr7",117433313,117434173,"union_peak_29520",745
"663","chr9",107739959,107740707,"union_peak_53157","chr9",107739768,107740696,"union_peak_33114",737
"664","chr5",29887293,29888648,"union_peak_38624","chr5",29887156,29888190,"union_peak_24152",897
"665","chr9",124038852,124039396,"union_peak_53794","chr9",124038189,124039680,"union_peak_33510",544
"666","chr10",81525057,81525323,"union_peak_5551","chr10",81523828,81525230,"union_peak_3452",173
"667","chr6",54925638,54926512,"union_peak_42546","chr6",54925487,54926693,"union_peak_26557",874
"668","chr14",73398260,73398975,"union_peak_17392","chr14",73398157,73399118,"union_peak_10786",715
"669","chr13",113170040,113170645,"union_peak_15842","chr13",113169814,113171116,"union_peak_9801",605
"670","chrX",142694665,142695549,"union_peak_54870","chrX",142694619,142695523,"union_peak_34200",858
"671","chr5",113641154,113641720,"union_peak_40170","chr5",113641291,113641897,"union_peak_25130",429
"672","chr9",46151474,46152043,"union_peak_51590","chr9",46151482,46152262,"union_peak_32163",561
"673","chr10",81404847,81405073,"union_peak_5524","chr10",81404778,81405955,"union_peak_3438",226
"674","chr2",59327686,59328529,"union_peak_29622","chr2",59327752,59328801,"union_peak_18439",777
"675","chr9",66300584,66301236,"union_peak_52303","chr9",66300460,66301309,"union_peak_32552",652
"676","chr2",5704493,5705131,"union_peak_28301","chr2",5704394,5705461,"union_peak_17611",638
"677","chr1",43843294,43844010,"union_peak_535","chr1",43843267,43844048,"union_peak_339",716
"678","chr10",68512225,68512901,"union_peak_5019","chr10",68512178,68513127,"union_peak_3137",676
"679","chr8",69188966,69189464,"union_peak_48878","chr8",69188761,69189680,"union_peak_30540",498
"680","chr4",98282011,98282905,"union_peak_36307","chr4",98281893,98283102,"union_peak_22698",894
"681","chr5",113589749,113590117,"union_peak_40161","chr5",113589903,113590922,"union_peak_25122",214
"682","chr6",67415071,67415894,"union_peak_42685","chr6",67415043,67416075,"union_peak_26661",823
"683","chr8",88291398,88291826,"union_peak_49494","chr8",88291185,88291753,"union_peak_30915",355
"684","chr13",93762797,93763352,"union_peak_15359","chr13",93762757,93763500,"union_peak_9475",555
"685","chr15",5762227,5763037,"union_peak_18040","chr15",5762157,5763177,"union_peak_11200",810
"686","chr10",121374703,121375562,"union_peak_6473","chr10",121374673,121375622,"union_peak_4065",859
"687","chr2",69716516,69716880,"union_peak_29807","chr2",69716149,69716925,"union_peak_18571",364
"688","chr2",143840943,143841201,"union_peak_31178","chr2",143838608,143841290,"union_peak_19453",258
"689","chr3",108726348,108726635,"union_peak_34330","chr3",108726486,108728113,"union_peak_21378_1",149
"690","chr1",51501084,51501693,"union_peak_576","chr1",51500917,51502020,"union_peak_373",609
"691","chr10",18946792,18947467,"union_peak_3934","chr10",18946839,18947460,"union_peak_2454",621
"692","chr3",32408740,32409564,"union_peak_32711","chr3",32408727,32409673,"union_peak_20327",824
"693","chr16",11475331,11476155,"union_peak_20631","chr16",11475277,11476156,"union_peak_12800",824
"694","chr3",136697723,136698424,"union_peak_34758","chr3",136697627,136698666,"union_peak_21660",701
"695","chr18",80495096,80496129,"union_peak_26271","chr18",80494828,80495918,"union_peak_16339",822
"696","chr14",103033182,103033937,"union_peak_17678","chr14",103033120,103033922,"union_peak_10977",740
"697","chr9",89220797,89221456,"union_peak_52759","chr9",89220782,89221602,"union_peak_32866",659
"698","chr2",144489218,144489722,"union_peak_31210","chr2",144489026,144490258,"union_peak_19479",504
"699","chr6",12012161,12012533,"union_peak_41716","chr6",12011853,12012789,"union_peak_26053",372
"700","chr15",38143075,38143756,"union_peak_18483","chr15",38143011,38143669,"union_peak_11481",594
"701","chr19",57093167,57093993,"union_peak_28109","chr19",57093090,57094168,"union_peak_17489",826
"702","chr15",78588955,78589174,"union_peak_19334","chr15",78588997,78590142,"union_peak_12035_2",177
"703","chr5",107756032,107756592,"union_peak_39957","chr5",107755955,107756590,"union_peak_25010",558
"704","chr5",62710603,62711488,"union_peak_39090","chr5",62710338,62711295,"union_peak_24409",692
"705","chr6",122270011,122270583,"union_peak_43835","chr6",122268839,122270718,"union_peak_27367_2",572
"706","chr10",76541425,76541672,"union_peak_5182","chr10",76541381,76541914,"union_peak_3232",247
"707","chr1",138180027,138180458,"union_peak_2300","chr1",138179888,138180632,"union_peak_1413",431
"708","chr3",53185473,53186129,"union_peak_32999","chr3",53185256,53186072,"union_peak_20511",599
"709","chr12",79444795,79444978,"union_peak_12436","chr12",79444571,79445117,"union_peak_7704",183
"710","chr17",86971049,86971704,"union_peak_24841","chr17",86971115,86971718,"union_peak_15494",589
"711","chr5",114041420,114042066,"union_peak_40209","chr5",114041509,114042118,"union_peak_25151",557
"712","chr2",79004623,79005233,"union_peak_30076","chr2",79004667,79005745,"union_peak_18750",566
"713","chr10",79690832,79691214,"union_peak_5304","chr10",79690730,79692467,"union_peak_3301",382
"714","chr1",36719517,36720541,"union_peak_273","chr1",36719650,36720671,"union_peak_188",891
"715","chr2",163800543,163801824,"union_peak_31772","chr2",163800430,163801919,"union_peak_19778",1281
"716","chr11",48934981,48935506,"union_peak_7656","chr11",48934896,48935432,"union_peak_4811",451
"717","chr7",58474626,58475690,"union_peak_45902","chr7",58474589,58475806,"union_peak_28717",1064
"718","chr12",85944344,85944940,"union_peak_12713","chr12",85944255,85946151,"union_peak_7854",596
"719","chr1",153299557,153300182,"union_peak_2515","chr1",153299526,153300446,"union_peak_1558",625
"720","chr9",66225758,66226729,"union_peak_52289","chr9",66225938,66226968,"union_peak_32545",791
"721","chr6",127102687,127103352,"union_peak_43986","chr6",127102716,127103636,"union_peak_27475",636
"722","chr7",66273328,66273958,"union_peak_46037","chr7",66273282,66274078,"union_peak_28821",630
"723","chr17",56118204,56119479,"union_peak_24169","chr17",56117903,56119598,"union_peak_15055",1275
"724","chr7",123399689,123400306,"union_peak_47381","chr7",123399468,123400424,"union_peak_29629",617
"725","chr7",90004005,90004305,"union_peak_46617","chr7",90004213,90004656,"union_peak_29165",92
"726","chr13",43239619,43240287,"union_peak_14409","chr13",43239648,43240542,"union_peak_8876",639
"727","chr3",107206105,107207287,"union_peak_34254","chr3",107205962,107207430,"union_peak_21332",1182
"728","chr19",14386786,14387040,"union_peak_27064","chr19",14386602,14388901,"union_peak_16849",254
"729","chr14",25521141,25521329,"union_peak_16253","chr14",25521021,25521568,"union_peak_10065",188
"730","chr6",35257778,35258248,"union_peak_42024","chr6",35256613,35258226,"union_peak_26252_1",448
"731","chr15",36719112,36719580,"union_peak_18426","chr15",36719014,36719655,"union_peak_11451",468
"732","chr17",86122909,86123635,"union_peak_24788","chr17",86122765,86123820,"union_peak_15460",726
"733","chr18",39008773,39009773,"union_peak_25523","chr18",39008569,39009617,"union_peak_15893",844
"734","chr5",113613040,113613601,"union_peak_40164","chr5",113613105,113613831,"union_peak_25124",496
"735","chr5",44012785,44013538,"union_peak_38995","chr5",44012741,44013525,"union_peak_24349",740
"736","chr8",86852552,86852896,"union_peak_49465","chr8",86852581,86854312,"union_peak_30898",315
"737","chr8",57589185,57590285,"union_peak_48806","chr8",57589331,57591292,"union_peak_30494",954
"738","chr6",54807358,54807815,"union_peak_42522","chr6",54807194,54808011,"union_peak_26548",457
"739","chr14",57725248,57725656,"union_peak_16950","chr14",57724918,57725889,"union_peak_10501",408
"740","chr4",8822435,8822959,"union_peak_35194","chr4",8822321,8823224,"union_peak_21948",524
"741","chr2",22810848,22811818,"union_peak_28664","chr2",22810665,22811988,"union_peak_17856",970
"742","chr7",141268780,141269235,"union_peak_47931","chr7",141268510,141269358,"union_peak_29977",455
"743","chr10",130414104,130414634,"union_peak_6755","chr10",130414153,130415347,"union_peak_4252",481
"744","chr15",67158601,67159011,"union_peak_18976","chr15",67158462,67159185,"union_peak_11819",410
"745","chr5",93136681,93137378,"union_peak_39653","chr5",93135882,93137579,"union_peak_24786",697
"746","chrX",167037483,167038278,"union_peak_55082","chrX",167037409,167038575,"union_peak_34319",795
"747","chr19",9103858,9104519,"union_peak_26846","chr19",9103873,9104472,"union_peak_16708",599
"748","chr7",65714067,65714802,"union_peak_46003","chr7",65713721,65714951,"union_peak_28796_1",735
"749","chr5",113640426,113640658,"union_peak_40169","chr5",113640350,113641049,"union_peak_25129",232
"750","chr3",132873259,132873508,"union_peak_34659","chr3",132872941,132873689,"union_peak_21608",249
"751","chr8",122295685,122296428,"union_peak_50328","chr8",122295724,122296444,"union_peak_31384",704
"752","chr3",65922398,65923423,"union_peak_33181","chr3",65922261,65923655,"union_peak_20627",1025
"753","chr7",43430591,43431125,"union_peak_45586","chr7",43430619,43431403,"union_peak_28523",506
"754","chr5",65154158,65154920,"union_peak_39218","chr5",65153726,65154951,"union_peak_24507",762
"755","chr10",39462561,39463247,"union_peak_4361","chr10",39462347,39463293,"union_peak_2736",686
"756","chr7",142422819,142423676,"union_peak_48000","chr7",142422644,142424511,"union_peak_30019_2",857
"757","chr13",95912782,95913597,"union_peak_15444","chr13",95912733,95913805,"union_peak_9519",815
"758","chr10",96328505,96328999,"union_peak_5961","chr10",96328335,96328872,"union_peak_3730",367
"759","chr12",16525893,16526794,"union_peak_11485","chr12",16525789,16526786,"union_peak_7102",893
"760","chr8",109542973,109543528,"union_peak_49887","chr8",109543045,109544075,"union_peak_31145_1",483
"761","chr2",143924205,143925137,"union_peak_31182","chr2",143924225,143925358,"union_peak_19456",912
"762","chr11",101357441,101358071,"union_peak_10162","chr11",101357208,101358198,"union_peak_6331",630
"763","chr6",130419147,130419726,"union_peak_44168","chr6",130418945,130420097,"union_peak_27613",579
"764","chr12",104969439,104970086,"union_peak_13098","chr12",104969380,104970238,"union_peak_8092",647
"765","chr16",97467935,97468821,"union_peak_22261","chr16",97467768,97469023,"union_peak_13870",886
"766","chr3",87840781,87841380,"union_peak_33465","chr3",87840618,87841450,"union_peak_20818",599
"767","chr10",39469052,39470714,"union_peak_4362","chr10",39469189,39470691,"union_peak_2737",1502
"768","chr2",126502035,126502603,"union_peak_30849","chr2",126501877,126502767,"union_peak_19253",568
"769","chr14",72850061,72850705,"union_peak_17355","chr14",72849975,72850803,"union_peak_10757",644
"770","chr11",97118200,97118630,"union_peak_9806","chr11",97117981,97118772,"union_peak_6110",430
"771","chr6",122283579,122283845,"union_peak_43837","chr6",122282521,122283660,"union_peak_27368_2",81
"772","chrX",20271994,20272515,"union_peak_54044","chrX",20271938,20272697,"union_peak_33693",521
"773","chr18",67869773,67870371,"union_peak_25997","chr18",67869598,67870414,"union_peak_16174",598
"774","chr11",115155148,115155390,"union_peak_10717","chr11",115154997,115155453,"union_peak_6644",242
"775","chr12",21225864,21226871,"union_peak_11575","chr12",21225953,21226952,"union_peak_7153",918
"776","chr12",82214943,82215348,"union_peak_12554","chr12",82214822,82215624,"union_peak_7767",405
"777","chr7",128029367,128029919,"union_peak_47616","chr7",128029167,128030101,"union_peak_29790",552
"778","chr7",127180555,127181320,"union_peak_47538","chr7",127180266,127181744,"union_peak_29738",765
"779","chr7",142378971,142379683,"union_peak_47992","chr7",142378949,142379794,"union_peak_30013",712
"780","chr3",37455905,37456565,"union_peak_32793","chr3",37455272,37456957,"union_peak_20379",660
"781","chr12",107129101,107129841,"union_peak_13142","chr12",107128931,107129860,"union_peak_8119",740
"782","chr11",16996762,16997323,"union_peak_7083","chr11",16996599,16997643,"union_peak_4468",561
"783","chr10",17566160,17566487,"union_peak_3879","chr10",17564899,17566862,"union_peak_2420_2",327
"784","chr10",118406902,118407387,"union_peak_6362","chr10",118406482,118407805,"union_peak_3990",485
"785","chr1",66931715,66932434,"union_peak_1048","chr1",66931377,66932709,"union_peak_688",719
"786","chr13",95703459,95704087,"union_peak_15433","chr13",95703363,95704546,"union_peak_9510",628
"787","chr11",117239532,117239907,"union_peak_10914","chr11",117239799,117240391,"union_peak_6768",108
"788","chr3",59296199,59297141,"union_peak_33067","chr3",59296321,59297354,"union_peak_20569",820
"789","chr11",83558566,83559060,"union_peak_9266","chr11",83558455,83558935,"union_peak_5790",369
"790","chr6",35256700,35257030,"union_peak_42023","chr6",35256613,35258226,"union_peak_26252_2",330
"791","chr7",139151060,139151762,"union_peak_47801","chr7",139151078,139151674,"union_peak_29912",596
"792","chr2",45138933,45139278,"union_peak_29488","chr2",45138661,45139372,"union_peak_18348",345
"793","chr5",147163176,147163516,"union_peak_41491","chr5",147163095,147163441,"union_peak_25911",265
"794","chr4",89161955,89162842,"union_peak_36232","chr4",89161836,89163800,"union_peak_22646",887
"795","chr11",121804159,121805014,"union_peak_11276","chr11",121804055,121804965,"union_peak_6978",806
"796","chr6",137581992,137582753,"union_peak_44344","chr6",137581840,137582965,"union_peak_27721",761
"797","chr18",89233488,89234118,"union_peak_26430","chr18",89233354,89234271,"union_peak_16447",630
"798","chr11",98472112,98472944,"union_peak_9944","chr11",98471972,98472858,"union_peak_6191",746
"799","chr8",117127171,117128003,"union_peak_50097","chr8",117126670,117128069,"union_peak_31277",832
"800","chr5",107398496,107399435,"union_peak_39929","chr5",107398292,107399481,"union_peak_24989",939
"801","chr4",141861679,141862604,"union_peak_37814","chr4",141861701,141862621,"union_peak_23591",903
"802","chr2",66101885,66102850,"union_peak_29758","chr2",66102204,66103121,"union_peak_18539",646
"803","chr7",74587288,74588037,"union_peak_46215","chr7",74587036,74588131,"union_peak_28928",749
"804","chr3",116465698,116466778,"union_peak_34430","chr3",116465473,116466746,"union_peak_21444",1048
"805","chr16",24222855,24223616,"union_peak_20958","chr16",24222617,24223852,"union_peak_12996",761
"806","chr6",58880572,58881681,"union_peak_42612","chr6",58880625,58881949,"union_peak_26601",1056
"807","chr11",83560315,83560930,"union_peak_9267","chr11",83559897,83561130,"union_peak_5791",615
"808","chr10",18007341,18008628,"union_peak_3904","chr10",18007692,18008960,"union_peak_2435",936
"809","chr8",107360452,107361018,"union_peak_49861","chr8",107360263,107361508,"union_peak_31127",566
"810","chr2",129243131,129244427,"union_peak_31006","chr2",129242992,129244459,"union_peak_19357",1296
"811","chr10",98717702,98718067,"union_peak_6022","chr10",98717369,98718447,"union_peak_3776",365
"812","chr10",130438543,130439536,"union_peak_6757","chr10",130438609,130439856,"union_peak_4253",927
"813","chr1",43534348,43535177,"union_peak_521","chr1",43534385,43535074,"union_peak_332",689
"814","chr19",56756142,56757059,"union_peak_28088","chr19",56756044,56757214,"union_peak_17478",917
"815","chr10",130466361,130467013,"union_peak_6759","chr10",130466378,130467332,"union_peak_4254",635
"816","chr8",122430110,122430730,"union_peak_50340","chr8",122430052,122430833,"union_peak_31388",620
"817","chr5",105555975,105556863,"union_peak_39864","chr5",105555614,105556864,"union_peak_24942",888
"818","chr9",88530081,88530688,"union_peak_52743","chr9",88529751,88530624,"union_peak_32850",543
"819","chr7",101316494,101317411,"union_peak_46852","chr7",101316305,101317555,"union_peak_29300",917
"820","chr1",138258718,138259382,"union_peak_2309","chr1",138258530,138259572,"union_peak_1421",664
"821","chr5",64840693,64841354,"union_peak_39192","chr5",64840546,64841469,"union_peak_24485",661
"822","chr18",56336080,56336700,"union_peak_25691","chr18",56335305,56336892,"union_peak_15999_1",620
"823","chr2",166491741,166492570,"union_peak_31940","chr2",166491470,166492684,"union_peak_19857",829
"824","chr17",48427259,48427595,"union_peak_24013","chr17",48426775,48428547,"union_peak_14943_1",336
"825","chr9",69442494,69443233,"union_peak_52407","chr9",69442172,69443156,"union_peak_32615",662
"826","chr5",73285533,73286949,"union_peak_39428","chr5",73285376,73287334,"union_peak_24647",1416
"827","chr3",149338706,149339649,"union_peak_34968","chr3",149338413,149339560,"union_peak_21803",854
"828","chr17",32160901,32161493,"union_peak_23333","chr17",32160805,32161834,"union_peak_14498",592
"829","chr13",6634621,6635734,"union_peak_13677","chr13",6634530,6635789,"union_peak_8432",1113
"830","chr12",102622182,102622759,"union_peak_13034","chr12",102622104,102622952,"union_peak_8060",577
"831","chr10",8416214,8416443,"union_peak_3758","chr10",8415210,8416425,"union_peak_2336_1",211
"832","chr1",91506982,91507842,"union_peak_1605","chr1",91507011,91508081,"union_peak_996",831
"833","chr7",100845363,100846098,"union_peak_46827","chr7",100845042,100846107,"union_peak_29286",735
"834","chr7",89252984,89254012,"union_peak_46607","chr7",89252839,89254038,"union_peak_29156",1028
"835","chr7",141270619,141271053,"union_peak_47932","chr7",141270517,141271111,"union_peak_29978",434
"836","chr6",86822193,86824061,"union_peak_43030","chr6",86822191,86824077,"union_peak_26892",1868
"837","chr7",126094781,126095475,"union_peak_47427","chr7",126094736,126095774,"union_peak_29660",694
"838","chr4",97860443,97861557,"union_peak_36303","chr4",97860333,97861549,"union_peak_22692",1106
"839","chr18",39010269,39010996,"union_peak_25524","chr18",39010314,39010916,"union_peak_15894",602
"840","chr11",83657276,83658263,"union_peak_9282","chr11",83657058,83658166,"union_peak_5803",890
"841","chr10",117938492,117939033,"union_peak_6325","chr10",117938333,117939202,"union_peak_3962",541
"842","chr6",142561039,142561941,"union_peak_44395","chr6",142560607,142562019,"union_peak_27765",902
"843","chr15",36648598,36648866,"union_peak_18419","chr15",36647775,36649020,"union_peak_11444",268
"844","chr8",72329664,72330421,"union_peak_49121","chr8",72329649,72331699,"union_peak_30688",757
"845","chr11",97829793,97830256,"union_peak_9885","chr11",97829619,97830105,"union_peak_6157",312
"846","chr5",118404299,118404840,"union_peak_40410","chr5",118404136,118404967,"union_peak_25266",541
"847","chr3",102755496,102756756,"union_peak_34069","chr3",102755323,102756603,"union_peak_21208",1107
"848","chr3",97931468,97933786,"union_peak_33941","chr3",97931463,97933951,"union_peak_21133",2318
"849","chr1",170978580,170979086,"union_peak_2966","chr1",170978536,170979448,"union_peak_1854",506
"850","chrX",42423814,42424726,"union_peak_54172","chrX",42423802,42425064,"union_peak_33781",912
"851","chr13",105066900,105067457,"union_peak_15639","chr13",105066627,105067799,"union_peak_9658",557
"852","chr7",19859722,19860328,"union_peak_45003","chr7",19859881,19860367,"union_peak_28159",447
"853","chr1",155118325,155119307,"union_peak_2574","chr1",155118568,155119628,"union_peak_1591",739
"854","chr19",56680533,56681477,"union_peak_28082","chr19",56680515,56681425,"union_peak_17472",892
"855","chr3",27330593,27331279,"union_peak_32648","chr3",27330353,27331516,"union_peak_20285",686
"856","chr9",123871760,123872685,"union_peak_53775","chr9",123871535,123872837,"union_peak_33498",925
"857","chr18",67671352,67672006,"union_peak_25984","chr18",67670885,67672295,"union_peak_16165",654
"858","chr7",139152507,139153191,"union_peak_47802","chr7",139152370,139153138,"union_peak_29913",631
"859","chr19",21863416,21864132,"union_peak_27177","chr19",21863262,21864234,"union_peak_16920",716
"860","chr15",52753021,52754211,"union_peak_18587","chr15",52753034,52754196,"union_peak_11559",1162
"861","chr10",94846746,94847387,"union_peak_5895","chr10",94846771,94848956,"union_peak_3678",616
"862","chr13",30625287,30625876,"union_peak_14129","chr13",30625025,30625994,"union_peak_8724",589
"863","chr2",103658471,103658967,"union_peak_30459","chr2",103657720,103659801,"union_peak_18992",496
"864","chr9",66264733,66265087,"union_peak_52295","chr9",66264603,66266714,"union_peak_32547_2",354
"907","chr16",29981591,29982002,"union_peak_21028","chr16",29981213,29982274,"union_peak_13026",411
"908","chr19",32216541,32217221,"union_peak_27352","chr19",32216306,32217335,"union_peak_17027",680
"909","chr1",156027584,156028599,"union_peak_2611","chr1",156027825,156028786,"union_peak_1616",774
"910","chr5",120110066,120110728,"union_peak_40453","chr5",120109882,120110764,"union_peak_25286",662
"911","chr7",66104362,66105120,"union_peak_46008","chr7",66104382,66105314,"union_peak_28801",738
"912","chr9",117961836,117962599,"union_peak_53476","chr9",117961713,117962814,"union_peak_33335",763
"913","chr6",108630610,108631528,"union_peak_43481","chr6",108630421,108631640,"union_peak_27150",918
"914","chr4",135053545,135054105,"union_peak_37444","chr4",135053516,135054428,"union_peak_23389",560
"915","chr8",122932692,122933074,"union_peak_50391","chr8",122932586,122933322,"union_peak_31414",382
"916","chr5",72742847,72743772,"union_peak_39383","chr5",72742744,72743835,"union_peak_24620",925
"917","chr13",113090374,113091134,"union_peak_15835","chr13",113090139,113091166,"union_peak_9794",760
"918","chr19",55136826,55138067,"union_peak_28042","chr19",55136911,55137864,"union_peak_17453",953
"919","chr17",74139995,74140758,"union_peak_24490","chr17",74139733,74140921,"union_peak_15255",763
"920","chr10",19516438,19517244,"union_peak_3980","chr10",19515979,19517136,"union_peak_2488",698
"921","chr1",171661440,171662063,"union_peak_3035","chr1",171661158,171661977,"union_peak_1898",537
"922","chr4",149487728,149488217,"union_peak_37960","chr4",149487533,149488298,"union_peak_23725",489
"923","chr9",124114613,124115395,"union_peak_53801","chr9",124114029,124115724,"union_peak_33517",782
"924","chr6",122284776,122285171,"union_peak_43838","chr6",122284580,122285086,"union_peak_27369",310
"925","chr17",83995915,83996555,"union_peak_24699","chr17",83995868,83996614,"union_peak_15401",640
"926","chr7",137476413,137477103,"union_peak_47787","chr7",137476217,137477201,"union_peak_29909",690
"927","chr19",41342808,41343009,"union_peak_27616","chr19",41342631,41343429,"union_peak_17202",201
"928","chr11",77207897,77208500,"union_peak_8934","chr11",77207626,77208771,"union_peak_5583",603
